5.808589553315605336e+00,-1.867265615413657778e-02,-1.234062765202489226e-02,-4.449985900000593547e-02,1.302637790390222955e-02,-7.732790146290260090e-03,-3.410283348814654308e-02,9.272906041998370957e-03,-9.209453808041242681e-03,-5.222905074015177229e-02,3.483903482627429340e-03,7.108997190045537179e-03,7.705328136237338255e-02
5.806905956194349017e+00,-1.995804922811451887e-02,-1.153595623687269853e-02,-7.108007599987105352e-02,2.180201437123834365e-02,-6.941020958484842712e-03,-4.874717422374861414e-02,1.455689442754470875e-02,-2.189239996579728231e-02,-7.643194606720227213e-02,7.678506658419789049e-03,2.244384692418212313e-02,1.286641696391874201e-01
5.805697647019861130e+00,-1.658152120726031839e-02,-7.367843440607960495e-03,-9.030412183075620103e-02,2.771875304946759891e-02,-2.285465976173631925e-04,-5.598082167575550716e-02,2.037567634667980521e-02,-3.249446413466607758e-02,-8.753910691949047529e-02,1.105432375744248505e-02,3.780974110242046882e-02,1.653429903891229513e-01
5.804808311468499404e+00,-1.193224501321675859e-02,-2.780215810005358737e-03,-1.055059084313814122e-01,3.125267340751633482e-02,9.472643591993325229e-03,-5.991113591771412422e-02,2.675951485255010504e-02,-4.096561351422323832e-02,-9.225732145471160495e-02,1.380877976244255026e-02,5.126058491907628523e-02,1.928942797039780443e-01
5.804143649902762547e+00,-7.021238309663473641e-03,1.359245933922022427e-03,-1.180631254560771948e-01,3.285502315246233151e-02,2.030762452476270186e-02,-6.216245720223480264e-02,3.322903794384369364e-02,-4.793916090582198142e-02,-9.381688080887805314e-02,1.618623340624870954e-02,6.251417338415987679e-02,2.145573028979455843e-01
5.803642203710034586e+00,-2.192288039457990396e-03,4.863570534314843458e-03,-1.287134023101813296e-01,3.298380534989858726e-02,3.126174343328558258e-02,-6.346087083843575394e-02,3.945260506411801815e-02,-5.390602828986956752e-02,-9.383614757847764942e-02,1.830207468608976290e-02,7.174372092469763484e-02,2.321923080094622505e-01
5.803261773195804274e+00,2.426638426450631811e-03,7.770378571710642897e-03,-1.379217146463173060e-01,3.204876658681246604e-02,4.182039208605023428e-02,-6.416287943379687941e-02,4.526608170107005585e-02,-5.916865154480865918e-02,-9.314335060828289603e-02,2.019401137110173744e-02,7.923168727118082288e-02,2.469126498162301508e-01
5.802972295930982405e+00,6.789395653829433455e-03,1.017994231851169704e-02,-1.460060009607883347e-01,3.038445641244948495e-02,5.174364217352669243e-02,-6.445840034833767718e-02,5.061019062918480776e-02,-6.390424666543607912e-02,-9.216650825856968765e-02,2.187107741901584551e-02,8.526300579646496625e-02,2.594187315477737288e-01
5.802751783625490489e+00,1.088507382329249873e-02,1.219668288309408433e-02,-1.531927064754901313e-01,2.824861933486140508e-02,6.093793442077530265e-02,-6.445766562563426394e-02,5.548161144223012764e-02,-6.821767563970676518e-02,-9.112660316386018977e-02,2.333793823660085948e-02,9.009232370615795349e-02,2.701755420681109521e-01
5.802583849800602600e+00,1.471899776757776973e-02,1.391005796448676474e-02,-1.596471789509030514e-01,2.583231881164149008e-02,6.938637206057803042e-02,-6.423101168056720434e-02,5.990403692061771479e-02,-7.217367654292350387e-02,-9.013583547225682835e-02,2.460344617645988594e-02,9.393649973078138649e-02,2.795085516931952174e-01
5.802456123008584932e+00,1.830397707003723548e-02,1.539073527056292710e-02,-1.654925167088728832e-01,2.327325788156441033e-02,7.711131438850346576e-02,-6.382776970418001239e-02,6.391250460416225687e-02,-7.581489737882297908e-02,-8.924854368257259529e-02,2.568187050666015034e-02,9.697608703259540108e-02,2.876567411000637287e-01
